ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0, send_bit_count, port0, Accumulator, 9992787, 0, 960, 61440, 15, 64, 64
rtr_0, send_packet_count, port0, Accumulator, 9992787, 0, 15, 15, 15, 1, 1
rtr_0, output_port_stalls, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port0, Accumulator, 9992787, 0, 9991542, 8591533429850, 16, 50632, 1619994
rtr_0, width_adj_count, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port1, Accumulator, 9992787, 0, 2112, 135168, 33, 64, 64
rtr_0, send_packet_count, port1, Accumulator, 9992787, 0, 33, 33, 33, 1, 1
rtr_0, output_port_stalls, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port1, Accumulator, 9992787, 0, 9990048, 4314566764470, 34, 91632, 999818
rtr_0, width_adj_count, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_0, send_bit_count, port2, Accumulator, 9992787, 0, 2112, 135168, 33, 64, 64
rtr_0, send_packet_count, port2, Accumulator, 9992787, 0, 33, 33, 33, 1, 1
rtr_0, output_port_stalls, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_0, idle_time, port2, Accumulator, 9992787, 0, 9989718, 4303052518722, 34, 91622, 999891
rtr_0, width_adj_count, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_0, xbar_stalls, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port0, Accumulator, 9992787, 0, 8640, 4976640, 15, 576, 576
rtr_1, send_packet_count, port0, Accumulator, 9992787, 0, 15, 15, 15, 1, 1
rtr_1, output_port_stalls, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port0, Accumulator, 9992787, 0, 9981582, 8669433306772, 16, 13199, 1633274
rtr_1, width_adj_count, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, send_packet_count, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, output_port_stalls, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port1, Accumulator, 9992787, 0, 9992787, 99855792027369, 1, 9992787, 9992787
rtr_1, width_adj_count, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, send_bit_count, port2, Accumulator, 9992787, 0, 960, 61440, 15, 64, 64
rtr_1, send_packet_count, port2, Accumulator, 9992787, 0, 15, 15, 15, 1, 1
rtr_1, output_port_stalls, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, idle_time, port2, Accumulator, 9992787, 0, 9991392, 8592469178318, 16, 49616, 1619984
rtr_1, width_adj_count, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_1, xbar_stalls, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port0, Accumulator, 9992787, 0, 38592, 22228992, 67, 576, 576
rtr_2, send_packet_count, port0, Accumulator, 9992787, 0, 67, 67, 67, 1, 1
rtr_2, output_port_stalls, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port0, Accumulator, 9992787, 0, 9942738, 1995177954800, 68, 12203, 555270
rtr_2, width_adj_count, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, send_packet_count, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, output_port_stalls, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port1, Accumulator, 9992787, 0, 9992787, 99855792027369, 1, 9992787, 9992787
rtr_2, width_adj_count, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, send_bit_count, port2, Accumulator, 9992787, 0, 3328, 212992, 52, 64, 64
rtr_2, send_packet_count, port2, Accumulator, 9992787, 0, 52, 52, 52, 1, 1
rtr_2, output_port_stalls, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, idle_time, port2, Accumulator, 9992787, 0, 9987951, 2675661860169, 53, 45743, 745662
rtr_2, width_adj_count, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_2, xbar_stalls, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, send_bit_count, port0, Accumulator, 9992787, 0, 3072, 196608, 48, 64, 64
rtr_3, send_packet_count, port0, Accumulator, 9992787, 0, 48, 48, 48, 1, 1
rtr_3, output_port_stalls, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, idle_time, port0, Accumulator, 9992787, 0, 9988803, 2857635961775, 49, 51628, 607892
rtr_3, width_adj_count, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, send_bit_count, port1, Accumulator, 9992787, 0, 3328, 212992, 52, 64, 64
rtr_3, send_packet_count, port1, Accumulator, 9992787, 0, 52, 52, 52, 1, 1
rtr_3, output_port_stalls, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, idle_time, port1, Accumulator, 9992787, 0, 9988471, 2676246621189, 53, 44737, 745672
rtr_3, width_adj_count, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, send_bit_count, port2, Accumulator, 9992787, 0, 40704, 22364160, 100, 64, 576
rtr_3, send_packet_count, port2, Accumulator, 9992787, 0, 100, 100, 100, 1, 1
rtr_3, output_port_stalls, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, idle_time, port2, Accumulator, 9992787, 0, 9939999, 1038871764327, 101, 11207, 313242
rtr_3, width_adj_count, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, xbar_stalls, port0, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, xbar_stalls, port1, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
rtr_3, xbar_stalls, port2, Accumulator, 9992787, 0, 0, 0, 0, 0, 0
arbiter_0, packet_latency, , Accumulator, 9992787, 0, 67, 137, 33, 2, 3
